landing_page,visits,purchases,sales
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google-Frisbee,21,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Electronics/Accessories/Keyboard+DOT+Sticker.axd,21,1,2.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Snowflake+Android+Cardboard+Sculpture,21,1,16.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Google+Campus+Bike+Tote+Navy,21,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Android+Techie+3D+Framed+Art,21,2,40.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Zip+Hoodie,21,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Sunnyvale+Campus+Zip+Hoodie,21,1,90.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Felt+Refillable+Journal,20,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heather+Green+Speckled+Tee,20,2,56.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+LoveHandle+Black,20,1,8.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Tote+Bag,20,1,141.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Split+Seam+Tee+Olive,20,4,105.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Hemp+Tote,20,1,80.0
https://shop.googlemerchandisestore.com/Google+Redesign/Brands/YouTube/home,19,0,0.0
https://shop.googlemerchandisestore.com/Google Redesign/Accessories,19,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/youtube/quickview.,19,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Stainless+Straight+Straw+and+Cleaner,19,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Pen+Grass+Green,19,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/YouTube+Pen+2Pack,19,0,0.0
https://shop.googlemerchandisestore.com/Google+Greenesign/Apparel/Google+Tee+Green,18,1,30.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Large+Tote+White,18,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/ApparelGoogle+Beekeepers+Tee+Mint,18,1,39.0
https://shop.googlemerchandisestore.com/eco/25oz+recycled+infuser+bottle.axd,17,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+NYC+Campus+Zip+Hoodie,17,1,32.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+24oz+Ring+Bottle+Blue,17,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Hoodie,17,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/5k+run/Google+5K+Run+2020+Womens+Tee,16,1,771.0
https://shop.googlemerchandisestore.com/Google+,16,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Clear+Framed+Gray+Shades,16,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Light+Up+Pen+Green,16,0,0.0
